threshold,accepted_trade_count,accept_rate_vs_baseline,pnl_net,expected_net_pnl,total_fees,total_slippage,win_rate,expected_shortfall_95,per_regime_accept_rate
0.05,43,0.4942528735632184,-262.7895985699632,-262.7895985699632,206.40000000000003,103.20000000000002,0.3953488372093023,-25.23400140243905,"{'RANGE': 1.0, 'TREND': 0.4883720930232558}"
0.1,38,0.4367816091954023,-210.2999384287412,-210.2999384287412,182.40000000000006,91.20000000000003,0.42105263157894735,-25.79435518159699,"{'RANGE': 1.0, 'TREND': 0.43023255813953487}"
0.15,36,0.41379310344827586,-193.35080082128664,-193.35080082128664,172.80000000000004,86.40000000000002,0.4444444444444444,-25.79435518159699,"{'RANGE': 1.0, 'TREND': 0.4069767441860465}"
0.2,34,0.39080459770114945,-164.4970552419504,-164.4970552419504,163.20000000000002,81.60000000000001,0.47058823529411764,-25.79435518159699,"{'RANGE': 1.0, 'TREND': 0.38372093023255816}"
0.25,28,0.3218390804597701,-115.30313667336411,-115.30313667336411,134.4,67.2,0.4642857142857143,-25.79435518159699,"{'RANGE': 1.0, 'TREND': 0.313953488372093}"
0.3,21,0.2413793103448276,-42.710107238004355,-42.710107238004355,100.79999999999998,50.39999999999999,0.5238095238095238,-17.800305366923904,"{'RANGE': 1.0, 'TREND': 0.23255813953488372}"
0.35,20,0.22988505747126436,-40.531357403701286,-40.531357403701286,95.99999999999999,47.99999999999999,0.55,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.22093023255813954}"
0.4,20,0.22988505747126436,-40.531357403701286,-40.531357403701286,95.99999999999999,47.99999999999999,0.55,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.22093023255813954}"
0.45,19,0.21839080459770116,-28.282384728507893,-28.282384728507893,91.19999999999999,45.599999999999994,0.5789473684210527,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.20930232558139536}"
0.5,18,0.20689655172413793,-13.4369117394529,-13.4369117394529,86.39999999999999,43.199999999999996,0.6111111111111112,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.19767441860465115}"
0.55,16,0.1839080459770115,-5.1154296570720845,-5.1154296570720845,76.8,38.4,0.625,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.1744186046511628}"
0.6,15,0.1724137931034483,-10.676322513184846,-10.676322513184846,71.99999999999999,35.99999999999999,0.6,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.16279069767441862}"
0.65,15,0.1724137931034483,-10.676322513184846,-10.676322513184846,71.99999999999999,35.99999999999999,0.6,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.16279069767441862}"
0.7,13,0.14942528735632185,16.474500765052934,16.474500765052934,62.399999999999984,31.199999999999992,0.6923076923076923,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.13953488372093023}"
0.75,13,0.14942528735632185,16.474500765052934,16.474500765052934,62.399999999999984,31.199999999999992,0.6923076923076923,-19.363520318303724,"{'RANGE': 1.0, 'TREND': 0.13953488372093023}"
0.8,12,0.13793103448275862,35.83802108335666,35.83802108335666,57.59999999999999,28.799999999999994,0.75,-8.188855198300587,"{'RANGE': 1.0, 'TREND': 0.12790697674418605}"
0.85,12,0.13793103448275862,35.83802108335666,35.83802108335666,57.59999999999999,28.799999999999994,0.75,-8.188855198300587,"{'RANGE': 1.0, 'TREND': 0.12790697674418605}"
0.9,12,0.13793103448275862,35.83802108335666,35.83802108335666,57.59999999999999,28.799999999999994,0.75,-8.188855198300587,"{'RANGE': 1.0, 'TREND': 0.12790697674418605}"
0.95,12,0.13793103448275862,35.83802108335666,35.83802108335666,57.59999999999999,28.799999999999994,0.75,-8.188855198300587,"{'RANGE': 1.0, 'TREND': 0.12790697674418605}"
